id,name,Rating,Bedrooms,Bathroom,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,license Satuts,
983640,Rental unit in Chicago ,4.9, 2 bedrooms , 1 bath,42.00456,-87.67058,Entire home/apt,179,2,254,9/4/2023,2,4,332,30,R17000015436,  Register,
1020810,Rental unit in Chicago ,4.7, 1 bedroom , 1 bath,41.89395,-87.62593,Entire home/apt,85,32,39,7/15/2023,0,3,158,4,City registration pending,Not Registers,
1027405,Home in Chicago ,4.2, 1 bedroom , 1 shared bath,41.85428,-87.70852,Private room,45,32,6,7/31/2016,0,4,0,0,R18000034125,  Register,
1027463,Home in Chicago ,4.4, 1 bedroom , 1 shared bath,41.8544,-87.70852,Private room,45,32,11,9/5/2021,0,4,89,0,R22000076746,  Register,
1027741,Rental unit in Chicago ,4.0, 1 bedroom , 1.5 shared baths,41.85454,-87.70802,Private room,45,32,5,10/13/2019,0,4,0,0,R22000076746,  Register,
1083987,Rental unit in Chicago ,5.0, 1 bedroom , 1 bath,41.85395,-87.62468,Entire home/apt,120,32,23,6/1/2021,0,74,365,0,City registration pending,Not Registers,
1096191,Condo in Chicago ,4.7, Studio , 1 bath,41.97271,-87.65236,Entire home/apt,90,32,83,8/7/2023,1,1,324,20,0,  Register,
1185749,Condo in Chicago ,4.9, 3 bedrooms , 1 bath,41.87033,-87.6826,Entire home/apt,158,3,355,8/15/2023,3,1,62,16,R23000099312,  Register,
1195259,Rental unit in Chicago ,4.9, 2 bedrooms , 1 bath,41.90914,-87.67859,Entire home/apt,138,32,210,8/6/2023,2,2,329,11,R19000037818,  Register,
1304049,Home in Chicago ,4.6, 1 bedroom , 1 bath,41.86967,-87.68284,Private room,103,32,121,8/12/2023,1,1,360,8,R17000015307,  Register,
1321332,Home in Chicago ,4.8, 4 bedrooms , 3.5 baths,41.93089,-87.66946,Entire home/apt,337,2,112,7/31/2023,1,1,317,10,2262746,  Register,
1356190,Home in Chicago ,5.0, 1 bedroom , 1 private bath,41.91984,-87.68962,Private room,93,3,417,9/8/2023,3,1,300,46,R17000015398,  Register,
1361421,Hostel in Chicago ,4.4, 1 bedroom , 11 shared baths,41.9459,-87.65461,Private room,120,32,42,5/23/2021,0,5,363,0,R20000058693,  Register,
1392594,Home in Chicago ,4.6, 3 bedrooms , 2 baths,41.96909,-87.67407,Entire home/apt,175,4,29,8/21/2023,0,1,175,3,R22000079042,  Register,
1461451,Rental unit in Chicago ,4.6, 1 bedroom , 2 shared baths,42.01653,-87.68788,Shared room,20,1,186,8/16/2023,2,15,171,14,R21000075752,  Register,
1502674,Rental unit in Chicago ,4.8, 2 bedrooms , 1 bath,41.91175,-87.63834,Entire home/apt,177,4,106,8/22/2023,1,7,128,27,2209985,  Register,
1502700,Home in Chicago ,4.4, 4 bedrooms , 2 baths,41.91184,-87.63963,Entire home/apt,279,32,16,9/2/2019,0,7,41,0,"2120298, 2120297",  Register,
1554433,Bungalow in Chicago ,4.9, 1 bedroom , 1.5 shared baths,41.71554,-87.67197,Private room,49,32,200,4/17/2023,2,2,359,6,R17000013891,  Register,
